Matches,FTHG,FTAG,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,FTR,FTG
LEI v CAR,0,1,0,0,0,16,12,7,3,14,16,10,4,0,2,0,0,-1,1
LIV v ARS,5,1,4,1,1,15,8,10,2,8,13,5,3,1,2,0,0,1,6
TOT v WOL,1,3,1,0,1,10,11,3,4,7,7,6,7,3,2,0,0,-1,4
WAT v NEW,1,1,0,1,-1,12,8,5,2,17,16,3,6,1,2,0,0,0,2
BUR v WHM,2,0,2,0,1,17,11,5,4,15,11,5,5,1,4,0,0,1,2
CRY v CHE,0,1,0,0,0,4,12,0,4,11,8,3,4,0,1,0,0,-1,1
MU v BOU,4,1,3,1,1,11,7,8,3,10,7,4,5,2,0,1,0,1,5
SOU v MC,1,3,1,3,-1,5,14,4,6,11,10,3,8,2,3,1,0,-1,4
ARS v FUL,4,1,1,0,1,16,9,9,4,7,12,8,3,0,1,0,0,1,5
CAR v TOT,0,3,0,3,-1,6,13,3,4,6,6,5,3,1,0,0,0,-1,3
EVE v LEI,0,1,0,0,0,17,8,2,4,5,8,6,5,3,1,0,0,-1,1
BOU v WAT,3,3,3,3,0,25,11,12,3,9,15,4,2,1,4,0,0,0,6
CHE v SOU,0,0,0,0,0,17,6,6,2,8,11,7,2,1,2,0,0,0,0
HUD v BUR,1,2,1,1,0,9,16,2,8,11,9,5,2,0,4,1,1,-1,3
NEW v MU,0,2,0,0,0,14,16,3,7,10,9,1,2,1,2,0,0,-1,2
WHM v BRI,2,2,0,0,0,13,13,6,6,9,11,1,5,0,1,0,0,0,4
WOL v CRY,0,2,0,0,0,9,17,1,4,9,7,3,10,4,1,0,0,-1,2
MC v LIV,2,1,1,0,1,9,7,4,5,12,7,2,1,4,2,0,0,1,3
BRI v LIV,0,1,0,0,0,7,10,0,3,15,5,2,7,0,0,0,0,-1,1
BUR v FUL,2,1,2,1,1,11,12,0,4,5,9,2,6,1,2,0,0,1,3
CAR v HUD,0,0,0,0,0,3,14,0,2,12,14,3,10,3,1,0,0,0,0
CHE v NEW,2,1,1,1,0,10,9,6,2,6,13,8,5,1,1,0,0,1,3
CRY v WAT,1,2,1,0,1,15,16,6,2,11,11,7,7,1,4,0,0,-1,3
LEI v SOU,1,2,0,2,-1,23,8,6,3,7,9,10,3,2,1,0,1,-1,3
WHM v ARS,1,0,0,0,0,11,11,3,2,7,10,7,3,0,2,0,0,1,1
EVE v BOU,2,0,0,0,0,15,16,3,7,17,8,5,9,5,0,0,0,1,2
TOT v MU,0,1,0,1,-1,21,13,11,8,8,8,7,4,1,2,0,0,-1,1
MC v WOL,3,0,2,0,1,24,3,9,0,6,3,12,1,1,0,0,1,1,3
ARS v CHE,2,0,2,0,1,13,13,5,1,13,15,5,6,0,2,0,0,1,2
BOU v WHM,2,0,0,0,0,10,9,4,1,6,10,2,3,0,1,0,0,1,2
LIV v CRY,4,3,0,1,-1,19,9,9,3,6,8,8,3,0,1,1,0,1,7
MU v BRI,2,1,2,0,1,20,7,5,3,11,11,6,5,1,0,0,0,1,3
NEW v CAR,3,0,1,0,1,16,9,6,1,11,6,7,10,0,1,0,0,1,3
SOU v EVE,2,1,0,0,0,11,7,4,2,12,11,7,6,2,1,0,0,1,3
WAT v BUR,0,0,0,0,0,9,11,4,3,14,9,1,7,1,2,0,0,0,0
WOL v LEI,4,3,2,0,1,12,16,7,6,11,10,5,9,3,3,0,0,1,7
FUL v TOT,1,2,1,0,1,12,14,4,5,10,8,7,10,2,3,0,0,-1,3
HUD v MC,0,3,0,1,-1,5,12,2,4,10,9,1,4,2,2,0,0,-1,3
ARS v CAR,2,1,0,0,0,15,19,4,2,14,12,4,7,3,3,0,0,1,3
FUL v BRI,4,2,0,2,-1,24,15,7,6,10,5,10,1,2,3,0,0,1,6
HUD v EVE,0,1,0,1,-1,10,10,2,5,13,10,3,4,1,4,0,1,-1,1
MU v BUR,2,2,0,0,0,28,6,9,4,10,9,11,3,1,3,0,0,0,4
NEW v MC,2,1,0,1,-1,6,12,2,4,9,7,1,8,2,3,0,0,1,3
WOL v WHM,3,0,0,0,0,20,4,9,0,8,10,5,1,4,1,0,0,1,3
BOU v CHE,4,0,0,0,0,12,11,7,7,8,6,3,7,1,0,0,0,1,4
LIV v LEI,1,1,1,1,0,10,5,3,2,13,6,7,1,1,3,0,0,0,2
SOU v CRY,1,1,0,1,-1,13,15,4,3,11,8,3,8,2,2,0,1,0,2
TOT v WAT,2,1,0,1,-1,17,9,3,1,6,9,9,5,0,4,0,0,1,3
BRI v WAT,0,0,0,0,0,21,5,4,0,15,10,7,0,1,0,0,0,0,0
BUR v SOU,1,1,0,0,0,15,10,6,4,10,9,4,2,3,1,0,0,0,2
